,so,pr,po,sn,eo,pn,en,sr,er
ver,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
version,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
vicarage,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
victim,1.5040773967762742,0.0,0.0,0.0,0.0,1.5040773967762742,0.0,0.0,0.0
vid,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video,0.0,1.5040773967762742,0.0,0.0,0.0,4.512232190328822,0.0,0.0,0.0
view,0.0,0.0,0.0,0.0,0.0,1.5040773967762742,1.5040773967762742,0.0,0.0
vigilance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
vigilant,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
vilify,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
viral,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
virtual,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
virtually,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
virulent,1.5040773967762742,0.0,0.0,1.5040773967762742,0.0,0.0,0.0,0.0,0.0
virus,3.243720864865315,2.027325540540822,3.6491859729734797,2.027325540540822,0.0,0.4054651081081644,0.0,2.8382557567571505,0.0
vision,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
visit,0.0,0.0,1.0986122886681098,1.0986122886681098,0.0,2.1972245773362196,0.0,0.0,0.0
vita,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vitro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
voice,1.5040773967762742,0.0,1.5040773967762742,0.0,0.0,0.0,0.0,0.0,0.0
volleyball,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
voluntarily,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
volunteer,1.5040773967762742,0.0,0.0,0.0,0.0,1.5040773967762742,0.0,0.0,0.0
von,0.0,2.1972245773362196,0.0,0.0,0.0,1.0986122886681098,0.0,1.0986122886681098,0.0
